Date,Close,Volume,VIX_Close,RSI_14,MACD,MACD_Signal,Next_Day_Return,Target_Up,PTT_Score,PTT_Volume,Yahoo_Score,Yahoo_Volume,News_Score,News_Volume,ADR_Ret,SOX_Ret,FX_Ret,Triple_Barrier_Signal
2021-01-21,611.2078857421875,89019137,21.31999969482422,92.02457174875596,24.948953419594204,15.877243974621493,-0.0356610675222662,0,0.52,7.0,1.05,4.0,0.32,2.0,-0.0024015161615658,-0.0050269101184364,-0.0026767450874446,0
2021-01-22,589.4115600585938,125179403,21.90999984741211,80.21396601183541,26.050758832723545,17.9119469462419,-0.0246534117144401,0,0.48,3.0,1.4,4.0,0.81,8.0,-0.0008956304875132,0.0269444305392247,0.0152769112282971,0
2021-01-25,574.8805541992188,93050133,23.190000534057617,73.09646877975968,25.457953388897863,19.421148234773096,-0.0252763529448362,0,-0.34,2.0,1.17,4.0,0.0,0.0,0.0024668330598713,-0.0374179662177193,-0.0184440885942316,0
2021-01-26,560.3496704101562,100153482,23.020000457763672,66.50487242309663,23.544226731628896,20.245763934144257,-0.0032415585230387,0,0.72,4.0,1.59,3.0,1.19,5.0,-0.0002575304109305,0.01068592575975,0.0015645520252856,0
2021-01-27,558.5332641601562,59985191,37.209999084472656,63.02084500100808,21.63165945904916,20.52294303912524,-0.0227643749448831,0,1.08,3.0,0.64,7.0,0.71,5.0,-0.0011304914850456,-0.0296505743949365,-0.0154065302490143,0
2021-01-28,545.818603515625,96447533,30.209999084472656,55.49736138194762,18.872419755794112,20.192838382459016,-0.0166388376117616,0,0.55,6.0,1.26,5.0,1.0,5.0,-7.166220309284821e-05,-0.0387683366373265,-0.0516662331607093,1
2021-01-29,536.73681640625,90745237,33.09000015258789,51.77663797058979,15.771078911119504,19.30848648819111,0.0338408596144417,1,-0.24,2.0,0.84,1.0,-0.1,3.0,0.0005373342428047,0.0335962915975167,0.0208652258576633,1
2021-02-01,554.9004516601562,67462398,30.239999771118164,54.76189790417159,14.610477028439618,18.368884596240814,0.0343702775199969,1,-0.35,1.0,1.07,7.0,0.7,8.0,-1.433942665640675e-05,-0.0342526817165604,-0.0163673162066474,1
2021-02-02,573.9725341796875,78429188,25.559999465942383,56.22126337996849,15.056092084554052,17.706326093903463,-0.0031649412598897,0,0.51,3.0,1.29,7.0,0.96,11.0,0.0024487312054366,0.0422977484166655,0.0391086873429238,1
2021-02-03,572.1559448242188,48738970,22.90999984741211,59.22327974939498,15.08872818181942,17.182806511486657,-0.0047616848066976,0,0.0,0.0,1.14,3.0,1.16,4.0,-0.0018106222993248,0.0140534304676149,0.0157800819485156,1
2021-02-04,569.4315185546875,46371900,21.770000457763672,56.50002587416018,14.725013305676498,16.691247870324627,0.0079746474809225,1,0.65,3.0,0.97,10.0,0.5,4.0,-0.0033023049600017,-0.0073185907349976,-0.0211529303636059,1
2021-02-05,573.9725341796875,53267273,20.8700008392334,56.28144352214053,14.634491349374455,16.279896566134596,0.0490501560724485,1,-0.55,4.0,1.25,1.0,1.03,7.0,0.0002153966128779,0.0050979020235188,0.0085655102916752,1
2021-02-17,602.1259765625,107614290,21.5,58.57138559634196,16.642653410166872,16.35244793494105,-0.0045244754507547,0,0.66,4.0,1.15,3.0,1.48,3.0,-0.0007495951777541,0.0050979020235188,0.0085655102916752,0
2021-02-18,599.4016723632812,53109010,22.489999771118164,53.36793212007757,17.809016474267082,16.643761642806258,-0.012121564503665,0,0.37,2.0,1.33,4.0,1.54,1.0,0.0016432605264946,-0.0269904231842564,-0.0187346192879932,0
2021-02-19,592.135986328125,50279585,22.049999237060547,43.999990783219,17.940283049042364,16.90306592405348,-0.0030673430117807,0,1.28,1.0,0.8,11.0,1.24,4.0,-0.0043260216490864,-0.0120350766069721,-0.0098953984810806,0
2021-02-22,590.3197021484375,36474610,23.450000762939453,50.32678216967196,17.693790795013115,17.061210898245406,-0.0138462362427337,0,1.02,1.0,-0.2,3.0,0.33,3.0,-0.0020738600516114,0.0150784594566399,0.0243644860074114,0
2021-02-23,582.14599609375,50076333,23.11000061035156,52.73971373136596,16.646997910200184,16.97836830063636,-0.0249608927770111,0,1.49,3.0,0.77,6.0,1.21,6.0,0.0016869897980316,-0.0226108460219559,-0.0376768914903949,0
2021-02-24,567.6151123046875,66206750,21.34000015258789,52.73971373136596,14.477992835960665,16.478293207701224,0.0159996885956545,1,0.0,0.0,1.29,4.0,0.79,5.0,-0.0035259000562134,-0.0334658116445077,-0.0058446384428317,0
2021-02-25,576.69677734375,43231417,28.88999938964844,56.49345463543255,13.33810182266734,15.850254930694447,-0.0456688821624368,0,0.45,1.0,0.68,10.0,1.07,5.0,0.0014671331918394,0.0247871822718177,0.0323813219763937,0
2021-02-26,550.3596801757812,111861175,27.950000762939453,51.479345708503615,10.192058641329822,14.718615672821524,0.0049504868143204,1,0.37,2.0,0.55,4.0,0.88,5.0,-0.0071884952298821,-0.0476191015238233,-0.0579758644522387,1
2021-03-02,553.084228515625,54041533,24.100000381469727,55.55560625960899,7.828404066066241,13.340573351470468,0.0213463607177966,1,0.82,1.0,1.73,2.0,0.67,4.0,0.0032414966528486,0.0253293809839441,0.033084275874232,0
2021-03-03,564.8905639648438,48252965,26.670000076293945,53.54842989597389,6.829141297167098,12.038286940609794,-0.0337622216865455,0,-0.24,2.0,-0.58,2.0,0.84,4.0,-0.001292381930975,-0.0242390280497108,-0.0309772026493229,0
2021-03-04,545.818603515625,67711962,28.56999969482422,39.99987859562892,4.447008193993042,10.520031191286444,0.0,0,0.0,0.0,1.37,1.0,0.73,5.0,-0.0028398027365883,-0.0246826073824497,-0.0310523374278633,0
2021-03-05,545.818603515625,79918467,24.65999984741211,40.52281954634564,2.5299864385832507,8.922022240745806,-0.0049914500018563,0,0.31,1.0,0.0,0.0,0.59,1.0,-0.0007209970414093,-0.0594026894384807,-0.0483771874837954,1
2021-03-08,543.0941772460938,43219772,25.469999313354492,40.52281954634564,0.7818814128313534,7.2939940751629155,-0.0050169390951168,0,0.81,1.0,0.33,4.0,0.0,0.0,0.003354993300541,0.0450732003665237,0.0314730811849541,1
2021-03-09,540.3695068359375,68768861,24.030000686645508,37.74819522703198,-0.8139794966200498,5.672399360806323,0.0033614151557805,1,0.14,3.0,0.64,3.0,0.66,5.0,0.0041167816095737,-0.0568709234969809,-0.0540956945989899,1
2021-03-10,542.1859130859375,40146301,22.559999465942383,22.95074020252143,-1.910123249077742,4.15589483882951,0.0201006982414169,1,0.39,1.0,0.0,0.0,0.51,3.0,0.012729430770398,0.0215045070624959,0.0613374213872048,1
2021-03-11,553.084228515625,54416046,21.90999984741211,30.534306500440938,-1.8777762601840775,2.9491606190267925,0.0082100198946515,1,0.34,1.0,0.53,4.0,0.94,3.0,-0.0010960695927649,-0.0219108425788165,-0.0180375530002001,0
2021-03-12,557.6250610351562,33168846,20.690000534057617,35.15622497824995,-1.4688023640776464,2.065568022405905,-0.0048860956319684,0,0.4,1.0,-0.14,1.0,1.59,1.0,-0.0017698266663561,0.0592986998178517,0.0409158452885207,0
2021-03-15,554.9004516601562,27416758,20.030000686645508,34.883653082223006,-1.3489904883351755,1.382656320257689,0.0032736111763431,1,-0.74,1.0,1.81,1.0,0.65,4.0,-0.0071271617621299,-0.0189086237060921,-0.010690158976964,0
2021-03-16,556.7169799804688,36949425,19.790000915527344,38.5246339624055,-1.09483943206385,0.8871571697933812,-0.0106471140855568,0,-0.11,2.0,1.08,1.0,0.42,3.0,0.0051677085413746,0.006593426842663,0.0225827745372604,0
2021-03-17,550.78955078125,39517807,19.229999542236328,41.76789937647818,-1.356084786409269,0.4385087785528511,-0.0033114527529283,0,0.0,0.0,0.35,2.0,1.39,7.0,0.0011014164447242,0.0022674439362748,0.0126218297570783,0
2021-03-18,548.9656372070312,29415526,21.579999923706055,35.394988842450005,-1.6908076165444754,0.0126454995333858,-0.0182723345674176,0,0.52,1.0,1.18,3.0,1.09,7.0,0.0021222922868702,-0.0011943167754451,0.0122462325355272,0
2021-03-19,538.9347534179688,70866028,20.950000762939453,42.73508718547405,-2.73397084707085,-0.5366777697874614,0.0033839541005358,1,1.09,2.0,0.84,2.0,0.54,3.0,-0.0006693435002753,-0.0358707409004701,-0.0423755934781037,0
2021-03-22,540.7584838867188,34089033,18.8799991607666,42.07144085450744,-3.3746248410351427,-1.1042671840369978,0.0016863836568532,1,0.0,0.0,1.92,2.0,1.02,1.0,0.0066305942977862,-0.0075980556460063,0.0118103321765128,0
2021-03-23,541.67041015625,29374037,20.299999237060547,32.62891140465831,-3.765358212628257,-1.6364853897552498,-0.0303026751918481,0,0.67,1.0,0.81,5.0,0.58,5.0,-0.0006547704063115,0.0312417524268382,0.0219766847199887,0
2021-03-24,525.25634765625,107253959,21.200000762939453,33.980226117654226,-5.337962185100082,-2.3767807488242165,-0.0017365032884798,0,0.13,3.0,1.2,4.0,1.17,7.0,-0.0027302551212525,-0.0195426734851549,-0.0270800105825604,1
2021-03-25,524.34423828125,67833354,19.809999465942383,33.50405839284643,-6.581988698460009,-3.2178223387513754,0.026087039522022,1,0.96,1.0,1.64,1.0,0.25,1.0,0.0033346900816131,-0.0516147008503103,-0.0134392680404334,1
2021-03-26,538.0228271484375,36829858,18.86000061035156,46.66551623117333,-6.390475445180414,-3.8523529600371833,0.015254398031711,1,0.8,1.0,1.55,1.0,1.21,2.0,0.0027356146036974,0.0136748264154089,0.0020006676330457,1
2021-03-29,546.2300415039062,37884733,20.739999771118164,53.59424914148134,-5.51289695975106,-4.184461759979959,-0.0033389824807895,0,1.32,2.0,0.0,0.0,0.99,10.0,0.0007935259426863,0.055319073250194,0.0494615161022224,0
2021-03-30,544.4061889648438,33099123,19.61000061035156,51.36156448351728,-4.908002941978111,-4.32916999637959,-0.0167503947227837,0,0.19,2.0,0.0,0.0,1.01,3.0,0.0028839118577712,-0.0186169775872762,-0.016627653011717,1
2021-03-31,535.2871704101562,38790886,19.399999618530273,38.8426273493324,-5.105594545612689,-4.48445490622621,0.025553511372959,1,0.59,2.0,0.83,1.0,0.84,7.0,-0.0020290204166467,0.0059445239598314,-0.0032998544409884,1
