Date,PTT_Score,PTT_Volume
2021-01-01,-0.48,1
2021-01-02,0.38,6
2021-01-03,0.28,3
2021-01-05,-0.21,3
2021-01-06,0.75,2
2021-01-07,0.7,2
2021-01-08,0.69,3
2021-01-09,0.13,1
2021-01-10,0.82,6
2021-01-11,0.43,2
2021-01-13,-0.92,1
2021-01-14,0.78,3
2021-01-15,0.06,4
2021-01-16,-0.1,2
2021-01-17,0.98,4
2021-01-18,1.03,4
2021-01-19,0.25,2
2021-01-20,0.78,2
2021-01-21,0.52,7
2021-01-22,0.48,3
2021-01-23,1.27,1
2021-01-24,0.78,3
2021-01-25,-0.34,2
2021-01-26,0.72,4
2021-01-27,1.08,3
2021-01-28,0.55,6
2021-01-29,-0.24,2
2021-01-30,0.23,5
2021-01-31,0.14,5
2021-02-01,-0.35,1
2021-02-01,-0.35,1
2021-02-02,0.51,3
2021-02-04,0.65,3
2021-02-05,-0.55,4
2021-02-06,0.5,2
2021-02-07,0.38,2
2021-02-08,1.0,4
2021-02-09,0.7,2
2021-02-10,0.57,3
2021-02-13,0.33,1
2021-02-14,1.1,3
2021-02-15,1.04,1
2021-02-16,0.84,2
2021-02-17,0.66,4
2021-02-18,0.37,2
2021-02-19,1.28,1
2021-02-20,-0.1,4
2021-02-21,0.46,2
2021-02-22,1.02,1
2021-02-23,1.49,3
2021-02-25,0.45,1
2021-02-26,0.37,2
2021-02-27,0.48,2
2021-03-02,0.82,1
2021-03-03,-0.24,2
2021-03-05,0.31,1
2021-03-06,-1.14,1
2021-03-07,0.93,3
2021-03-08,0.81,1
2021-03-09,0.14,3
2021-03-10,0.39,1
2021-03-11,0.34,1
2021-03-12,0.4,1
2021-03-13,0.08,2
2021-03-14,0.45,2
2021-03-15,-0.74,1
2021-03-16,-0.11,2
2021-03-18,0.52,1
2021-03-19,1.09,2
2021-03-20,0.22,3
2021-03-23,0.67,1
2021-03-24,0.13,3
2021-03-25,0.96,1
2021-03-26,0.8,1
2021-03-27,0.53,2
2021-03-28,-0.22,3
2021-03-29,1.32,2
2021-03-30,0.19,2
2021-03-31,0.59,2
2021-04-01,0.22,4
2021-04-01,0.22,4
2021-04-02,0.7,2
2021-04-03,0.91,2
2021-04-05,0.71,1
2021-04-07,0.98,2
2021-04-09,0.46,3
2021-04-10,0.38,3
2021-04-11,0.82,1
2021-04-12,0.64,1
2021-04-13,-0.61,2
2021-04-14,1.13,2
2021-04-15,0.73,1
2021-04-16,-0.3,2
2021-04-17,0.9,1
2021-04-18,0.41,5
2021-04-20,0.85,1
2021-04-22,0.54,3
2021-04-23,0.4,6
2021-04-24,0.28,4
2021-04-25,0.5,3
2021-04-26,-0.01,2
2021-04-27,0.06,1
2021-04-28,1.05,1
2021-04-29,1.14,1
2021-04-30,0.5,1
2021-05-01,0.3,3
2021-05-01,0.3,3
2021-05-02,0.19,4
2021-05-03,0.27,2
2021-05-04,0.61,3
2021-05-05,0.86,1
2021-05-06,0.31,3
2021-05-07,0.33,3
2021-05-08,0.86,4
2021-05-09,0.26,3
2021-05-10,-0.59,1
2021-05-11,1.08,2
2021-05-12,-0.91,1
2021-05-13,0.88,1
2021-05-14,0.69,3
2021-05-15,0.24,4
2021-05-16,0.74,2
2021-05-17,0.4,1
2021-05-18,0.76,2
2021-05-20,0.14,1
2021-05-21,-0.1,2
2021-05-22,-0.67,1
2021-05-23,0.65,1
2021-05-25,1.18,1
2021-05-26,0.98,3
2021-05-27,0.66,1
2021-05-28,0.43,1
2021-05-29,0.92,1
2021-05-31,0.71,1
2021-06-01,-0.76,1
2021-06-01,-0.76,1
2021-06-02,0.69,1
2021-06-03,0.14,1
2021-06-06,0.89,1
2021-06-07,1.1,1
