Date,News_Score,News_Volume
2021-01-01,1.41,1
2021-01-02,-0.07,1
2021-01-03,-0.22,2
2021-01-05,1.82,2
2021-01-07,1.46,3
2021-01-08,1.07,5
2021-01-09,0.3,3
2021-01-10,0.36,2
2021-01-11,1.01,2
2021-01-12,1.15,4
2021-01-13,0.84,9
2021-01-14,1.0,4
2021-01-15,0.87,6
2021-01-16,1.13,3
2021-01-17,0.42,2
2021-01-18,1.35,2
2021-01-19,0.72,5
2021-01-20,0.99,2
2021-01-21,0.32,2
2021-01-22,0.81,8
2021-01-23,1.0,4
2021-01-24,1.37,1
2021-01-26,1.19,5
2021-01-27,0.71,5
2021-01-28,1.0,5
2021-01-29,-0.1,3
2021-01-30,1.74,1
2021-01-31,0.69,3
2021-02-01,0.82,3
2024-10-03,0.45,1
2025-05-15,1.04,1
2021-02-01,0.7,8
2021-02-02,0.96,11
2021-02-03,1.16,4
2021-02-04,0.5,4
2021-02-05,1.03,7
2021-02-06,1.56,2
2021-02-07,1.24,1
2021-02-08,0.8,6
2021-02-09,1.09,5
2021-02-10,0.81,1
2021-02-11,1.28,2
2021-02-13,0.0,1
2021-02-14,0.55,3
2021-02-16,0.91,3
2021-02-17,1.48,3
2021-02-18,1.54,1
2021-02-19,1.24,4
2021-02-20,0.42,1
2021-02-22,0.33,3
2021-02-23,1.21,6
2021-02-24,0.79,5
2021-02-25,1.07,5
2021-02-26,0.88,5
2021-02-27,0.62,3
2021-02-28,1.56,2
2021-03-01,0.42,1
2021-03-04,0.84,1
2021-03-06,1.39,1
2021-03-24,0.95,1
2021-03-02,0.67,4
2021-03-03,0.84,4
2021-03-04,0.73,5
2021-03-05,0.59,1
2021-03-07,0.24,2
2021-03-09,0.66,5
2021-03-10,0.51,3
2021-03-11,0.94,3
2021-03-12,1.59,1
2021-03-13,0.27,3
2021-03-15,0.65,4
2021-03-16,0.42,3
2021-03-17,1.39,7
2021-03-18,1.09,7
2021-03-19,0.54,3
2021-03-20,1.95,1
2021-03-21,0.08,1
2021-03-22,1.02,1
2021-03-23,0.58,5
2021-03-24,1.17,7
2021-03-25,1.56,1
2021-03-26,1.21,2
2021-03-27,-0.02,2
2021-03-28,0.72,1
2021-03-29,0.99,10
2021-03-30,1.01,3
2021-03-31,0.84,7
2021-04-01,1.29,4
2021-03-25,0.25,1
2021-04-01,0.81,3
2021-04-02,1.69,1
2021-04-04,-0.23,1
2021-04-05,1.05,1
2021-04-06,-0.19,4
2021-04-07,1.07,6
2021-04-08,0.98,6
2021-04-09,1.34,2
2021-04-11,0.99,1
2021-04-12,0.57,4
2021-04-13,1.5,4
2021-04-14,0.63,8
2021-04-15,1.5,6
2021-04-16,1.33,3
2021-04-18,0.24,2
2021-04-19,0.74,3
2021-04-20,0.39,6
2021-04-21,0.84,3
2021-04-22,0.96,3
2021-04-23,0.77,6
2021-04-25,1.57,1
2021-04-26,1.18,9
2021-04-27,0.96,4
2021-04-28,1.28,3
2021-04-29,1.22,8
2021-04-30,1.18,1
2021-05-02,0.86,1
2021-05-03,1.33,3
2021-05-04,0.29,9
2021-05-05,1.38,6
2021-05-06,0.78,4
2021-05-07,1.16,5
2021-05-08,0.28,1
2021-05-09,0.46,2
2021-05-10,1.3,6
2021-05-11,1.02,4
2021-05-12,0.91,3
2021-05-13,0.69,4
2021-05-14,0.72,2
2021-05-18,0.56,4
2021-05-19,0.69,7
2021-05-20,0.85,1
2021-05-21,0.26,2
2021-05-22,1.44,1
2021-05-24,1.63,1
2021-05-25,0.77,7
2021-05-26,0.96,6
2021-05-27,0.82,3
2021-05-28,1.25,5
2021-05-29,0.92,2
2021-05-30,0.97,1
2021-05-31,0.73,6
2021-06-01,0.57,4
2021-06-01,0.67,5
2021-06-02,0.67,5
2021-06-03,0.95,6
2021-06-04,0.99,1
2021-06-05,1.33,3
2021-06-06,1.36,3
2021-06-08,-0.45,2
2021-06-09,1.34,2
2021-06-10,1.41,2
2021-06-11,1.22,3
2021-06-12,1.05,3
2021-06-14,1.17,1
2021-06-15,1.13,4
2021-06-16,1.34,7
2021-06-17,1.42,3
2021-06-18,1.2,4
2021-06-19,0.38,1
2021-06-21,0.93,3
2021-06-22,2.46,1
2021-06-23,1.47,3
2021-06-24,1.17,5
2021-06-25,0.45,6
2021-06-26,0.68,1
2021-06-27,-0.1,2
2021-06-28,1.19,4
2021-06-29,1.21,2
2021-06-30,0.95,8
2021-07-01,0.98,9
2025-04-29,0.23,1
2021-07-01,1.01,7
2021-07-02,1.15,1
2021-07-04,1.37,5
2021-07-05,1.15,4
2021-07-06,0.54,2
2021-07-07,0.46,5
2021-07-08,1.61,1
2021-07-09,1.31,3
2021-07-12,0.6,5
2021-07-13,0.19,1
2021-07-14,1.76,2
2021-07-15,0.93,7
2021-07-16,0.86,3
2021-07-19,0.22,3
2021-07-20,0.71,9
2021-07-21,0.84,5
2021-07-22,0.62,6
2021-07-23,0.92,4
2021-07-24,1.63,2
2021-07-25,0.75,1
2021-07-26,0.96,5
2021-07-27,1.35,4
2021-07-28,1.18,4
2021-07-29,-0.16,1
2021-07-30,1.09,3
2021-07-31,-0.96,2
2021-08-01,1.76,3
2021-09-09,0.76,1
2025-05-28,1.03,1
2021-08-01,1.76,3
2021-08-02,1.26,4
2021-08-03,1.04,8
2021-08-04,0.76,3
2021-08-05,0.45,2
2021-08-06,1.03,4
2021-08-08,1.84,1
2021-08-09,0.83,4
2021-08-10,0.42,1
2021-08-11,1.13,3
2021-08-12,1.16,5
2021-08-13,0.16,2
2021-08-14,1.05,1
2021-08-16,0.85,6
2021-08-17,0.74,4
2021-08-18,1.36,2
2021-08-19,1.55,1
2021-08-20,0.83,1
2021-08-22,1.64,4
2021-08-23,0.83,7
2021-08-24,1.35,2
2021-08-25,0.66,6
2021-08-26,0.87,5
2021-08-27,1.67,3
2021-08-28,1.26,2
2021-08-29,0.97,3
2021-08-30,0.86,6
2021-08-31,1.14,3
2021-09-01,0.45,3
2026-03-18,1.56,1
2021-09-01,0.61,4
2021-09-02,1.16,5
2021-09-03,0.27,5
2021-09-04,-0.14,1
2021-09-05,1.5,1
2021-09-06,0.72,1
2021-09-07,1.14,5
2021-09-08,0.53,4
2021-09-09,1.05,4
2021-09-10,-0.69,1
2021-09-11,1.14,2
2021-09-12,1.0,1
2021-09-13,0.93,2
2021-09-14,1.01,3
2021-09-15,1.28,3
2021-09-16,0.75,3
2021-09-17,1.1,5
2021-09-18,1.14,3
2021-09-20,0.82,1
2021-09-22,1.01,7
2021-09-23,1.46,3
2021-09-24,1.37,6
2021-09-25,1.31,1
2021-09-27,0.97,4
2021-09-28,1.12,4
2021-09-30,0.67,2
2021-10-01,1.19,6
2025-03-02,1.05,1
2025-07-07,-0.48,1
2025-11-04,-1.2,1
2026-02-05,-1.46,1
2026-02-13,1.3,1
2026-02-24,-0.16,1
2026-03-01,0.68,1
2026-03-15,-0.06,1
2026-03-16,0.72,2
2026-03-18,0.29,1
2026-03-19,-0.66,2
2021-10-01,1.1,4
2021-10-04,1.43,4
2021-10-05,0.83,5
2021-10-06,0.69,3
2021-10-07,0.88,5
2021-10-10,1.27,2
2021-10-12,1.4,3
2021-10-13,0.84,2
2021-10-14,1.05,6
2021-10-15,1.05,3
2021-10-16,-0.7,1
2021-10-17,1.63,1
2021-10-18,1.14,4
2021-10-19,0.58,4
2021-10-20,0.8,7
2021-10-21,0.87,10
2021-10-22,0.9,2
2021-10-23,0.57,1
2021-10-24,1.05,3
2021-10-25,0.5,3
2021-10-26,0.46,5
2021-10-27,1.23,3
2021-10-28,1.38,4
2021-10-29,1.07,6
2021-10-30,0.98,2
2021-10-31,-0.85,1
2021-11-01,1.49,3
2023-08-18,0.62,1
2023-10-29,0.68,1
2026-03-18,0.26,1
2021-11-01,1.3,2
2021-11-02,0.85,3
2021-11-03,0.86,4
2021-11-04,1.55,4
2021-11-05,1.0,2
2021-11-06,1.9,2
2021-11-08,0.74,5
2021-11-09,0.44,1
2021-11-10,1.35,5
2021-11-11,1.15,6
