Date,Yahoo_Score,Yahoo_Volume
2021-01-02,1.34,1
2021-01-03,0.72,1
2021-01-04,1.21,3
2021-01-05,0.62,2
2021-01-06,0.94,3
2021-01-07,0.93,6
2021-01-08,0.51,3
2021-01-10,-0.09,3
2021-01-11,1.4,6
2021-01-12,1.7,3
2021-01-13,0.63,4
2021-01-14,0.95,9
2021-01-15,0.79,3
2021-01-16,0.91,2
2021-01-17,1.24,1
2021-01-18,0.44,1
2021-01-19,0.68,6
2021-01-20,-0.3,2
2021-01-21,1.05,4
2021-01-22,1.4,4
2021-01-23,0.38,2
2021-01-24,1.06,3
2021-01-25,1.17,4
2021-01-26,1.59,3
2021-01-27,0.64,7
2021-01-28,1.26,5
2021-01-29,0.84,1
2021-01-30,0.88,2
2021-01-31,1.87,1
2021-02-01,1.11,5
2021-02-01,1.07,7
2021-02-02,1.29,7
2021-02-03,1.14,3
2021-02-04,0.97,10
2021-02-05,1.25,1
2021-02-06,-0.9,1
2021-02-07,0.75,3
2021-02-08,1.41,2
2021-02-09,1.16,4
2021-02-11,0.95,1
2021-02-12,0.61,1
2021-02-14,1.06,2
2021-02-16,0.36,2
2021-02-17,1.15,3
2021-02-18,1.33,4
2021-02-19,0.8,11
2021-02-20,0.98,2
2021-02-21,1.08,2
2021-02-22,-0.2,3
2021-02-23,0.77,6
2021-02-24,1.29,4
2021-02-25,0.68,10
2021-02-26,0.55,4
2021-03-01,1.23,7
2021-03-01,1.88,2
2021-03-02,1.73,2
2021-03-03,-0.58,2
2021-03-04,1.37,1
2021-03-07,2.12,1
2021-03-08,0.33,4
2021-03-09,0.64,3
2021-03-11,0.53,4
2021-03-12,-0.14,1
2021-03-14,0.35,3
2021-03-15,1.81,1
2021-03-16,0.54,3
2021-03-17,0.35,2
2021-03-18,1.18,3
2021-03-19,0.84,2
2021-03-21,0.82,6
2021-03-22,1.92,2
2021-03-23,0.81,5
2021-03-24,1.2,4
2021-03-25,1.09,5
2021-03-26,0.97,1
2021-03-27,1.27,1
2021-03-28,0.99,2
2021-03-31,0.9,6
2021-04-07,0.72,1
