Date,News_Raw_Score,News_Volume
2013-01-02,0.52771,6
2013-01-03,0.532336,9
2013-01-04,0.516834,2
2013-01-06,0.550992,1
2013-01-07,0.532358,3
2013-01-08,0.47104,1
2013-01-09,0.501246,2
2013-01-10,0.514279,5
2013-01-11,0.512866,5
2013-01-12,0.54996,1
2013-01-13,0.524292,1
2013-01-14,0.50707,3
2013-01-15,0.479669,3
2013-01-16,0.519857,4
2013-01-17,0.504799,12
2013-01-18,0.519308,4
2013-01-19,0.515217,1
2013-01-21,0.502728,3
2013-01-23,0.5023,3
2013-01-24,0.490797,3
2013-01-25,0.464428,1
2013-01-28,0.468076,3
2013-01-29,0.538034,2
2013-01-31,0.537679,2
2013-02-01,0.454403,1
2013-02-04,0.526289,3
2013-02-05,0.521804,2
2013-02-06,0.526701,6
2013-02-07,0.527046,2
2013-02-08,0.515024,2
2013-02-14,0.532406,1
2013-02-20,0.510988,1
2013-02-21,0.440833,1
2013-02-22,0.489166,2
2013-02-23,0.512618,2
2013-02-25,0.528436,2
2013-02-26,0.504303,2
2013-02-27,0.49945,6
2013-03-01,0.508667,2
2013-03-04,0.504176,3
2013-03-05,0.50738,1
2013-03-06,0.502195,2
2013-03-08,0.47987,4
2013-03-11,0.454776,1
2013-03-12,0.468672,2
2013-03-13,0.491073,2
2013-03-14,0.519579,3
2013-03-15,0.506433,2
2013-03-18,0.510982,1
2013-03-19,0.523026,3
2013-03-20,0.486647,5
2013-03-21,0.513292,5
2013-03-22,0.520111,4
2013-03-25,0.509802,3
2013-03-26,0.504028,4
2013-03-27,0.50557,6
2013-03-28,0.515787,3
2013-03-29,0.504877,1
2013-04-01,0.49494,3
2013-04-02,0.502998,5
2013-04-09,0.486401,6
2013-04-10,0.507999,3
2013-04-11,0.504043,9
2013-04-12,0.47971,1
2013-04-15,0.498137,3
2013-04-16,0.511242,3
2013-04-17,0.496552,3
2013-04-18,0.528592,13
2013-04-19,0.521697,25
2013-04-20,0.497915,5
2013-04-22,0.513146,7
2013-04-23,0.498826,6
2013-04-24,0.510044,3
2013-04-25,0.482014,3
2013-04-26,0.510429,3
2013-04-27,0.519401,2
2013-04-29,0.515634,3
2013-04-30,0.503428,4
2013-05-02,0.527789,2
2013-05-03,0.52555,3
2013-05-06,0.471163,1
2013-05-07,0.484142,3
2013-05-08,0.533229,6
2013-05-09,0.542163,2
2013-05-10,0.532282,4
2013-05-13,0.511028,3
2013-05-14,0.526001,2
2013-05-22,0.506151,2
2013-05-23,0.451501,2
2013-05-24,0.499298,4
2013-05-25,0.512147,1
2013-05-27,0.516715,4
2013-05-28,0.528064,4
2013-05-29,0.499934,2
2013-05-30,0.509944,3
2013-06-03,0.537302,2
2013-06-04,0.509705,4
2013-06-05,0.527054,2
2013-06-07,0.504653,1
2013-06-09,0.514925,1
2013-06-10,0.547077,2
2013-06-11,0.505905,5
2013-06-13,0.495905,2
2013-06-14,0.459602,1
2013-06-17,0.508486,1
2013-06-18,0.523194,2
2013-06-21,0.521785,2
2013-06-24,0.49892,2
2013-06-26,0.529428,1
2013-06-29,0.497655,4
2013-07-01,0.514751,2
2013-07-02,0.471599,2
2013-07-03,0.460966,7
2013-07-04,0.498946,2
2013-07-05,0.521055,3
2013-07-06,0.468904,1
2013-07-08,0.505189,2
2013-07-09,0.509703,1
2013-07-10,0.512756,5
2013-07-11,0.506687,3
2013-07-12,0.510284,3
2013-07-15,0.504869,3
2013-07-17,0.461757,1
2013-07-18,0.489675,10
2013-07-19,0.466501,15
2013-07-20,0.47158,2
2013-07-22,0.480427,4
2013-07-23,0.514035,7
2013-07-24,0.516015,4
2013-07-29,0.471368,1
2013-07-31,0.524881,2
2013-08-01,0.500638,2
2013-08-05,0.515019,3
2013-08-06,0.486365,2
2013-08-07,0.526805,1
2013-08-08,0.450278,1
2013-08-09,0.494981,5
2013-08-10,0.505366,2
2013-08-12,0.503309,1
2013-08-13,0.552807,1
2013-08-14,0.491022,1
2013-08-15,0.552644,1
2013-08-17,0.496735,1
2013-08-19,0.518508,2
2013-08-20,0.517365,1
2013-08-22,0.514462,2
2013-08-23,0.517367,5
2013-08-24,0.526063,2
2013-08-26,0.532843,3
2013-08-28,0.511501,7
2013-08-30,0.516194,3
2013-09-02,0.515446,7
2013-09-03,0.506768,1
2013-09-04,0.488761,2
2013-09-07,0.532404,1
2013-09-10,0.522515,2
2013-09-11,0.516954,1
2013-09-12,0.539805,1
2013-09-13,0.522925,1
2013-09-15,0.544732,1
2013-09-16,0.511768,1
2013-09-17,0.516373,2
2013-09-18,0.540809,1
2013-09-21,0.501533,1
2013-09-23,0.517321,5
2013-09-25,0.504652,1
2013-09-26,0.504204,1
2013-09-27,0.498723,1
2013-09-28,0.519234,1
2013-09-29,0.515708,2
2013-09-30,0.500461,5
2013-10-01,0.496932,4
2013-10-02,0.528411,1
2013-10-03,0.532288,9
2013-10-04,0.516208,4
2013-10-05,0.500379,1
2013-10-07,0.520794,2
2013-10-09,0.543398,2
2013-10-11,0.450797,1
2013-10-12,0.530245,3
2013-10-14,0.482792,3
2013-10-15,0.502271,1
2013-10-16,0.514725,2
2013-10-17,0.507934,8
2013-10-18,0.520447,7
2013-10-19,0.532146,3
2013-10-21,0.515068,4
2013-10-22,0.5182,1
2013-10-24,0.473992,1
2013-10-25,0.472,1
2013-10-28,0.504249,3
2013-10-29,0.522273,1
2013-11-01,0.534996,1
2013-11-05,0.575827,1
2013-11-08,0.460945,1
2013-11-09,0.507162,6
2013-11-10,0.503702,1
2013-11-11,0.508108,1
2013-11-12,0.511912,4
2013-11-13,0.49797,3
2013-11-14,0.516113,3
2013-11-15,0.508478,2
2013-11-17,0.505426,1
2013-11-19,0.530399,1
2013-11-21,0.452523,2
2013-11-23,0.501887,1
2013-11-25,0.502323,5
2013-11-26,0.514857,4
2013-11-27,0.521995,3
2013-11-28,0.514886,3
2013-12-02,0.512343,1
2013-12-03,0.542461,2
2013-12-04,0.486355,3
2013-12-05,0.512789,1
2013-12-06,0.522308,1
2013-12-10,0.513575,4
2013-12-11,0.507718,4
2013-12-12,0.521932,4
2013-12-13,0.507641,2
2013-12-18,0.494294,3
2013-12-19,0.518126,2
2013-12-20,0.501923,1
2013-12-23,0.515247,1
2013-12-24,0.517158,6
2013-12-25,0.495147,1
2013-12-30,0.496642,1
2014-01-03,0.521423,1
2014-01-06,0.515699,1
2014-01-07,0.523283,1
2014-01-10,0.503059,5
2014-01-13,0.49258,6
2014-01-14,0.515048,4
2014-01-15,0.487475,2
2014-01-16,0.512464,12
2014-01-17,0.514047,5
2014-01-22,0.464085,1
2014-01-24,0.509206,1
2014-01-25,0.523786,1
2014-02-03,0.537287,1
2014-02-07,0.525249,2
2014-02-08,0.533617,2
2014-02-10,0.516115,4
2014-02-11,0.493247,1
2014-02-13,0.500682,2
2014-02-14,0.51128,4
