Date,PTT_Raw_Score,PTT_Volume
2008-02-25,0.46997,1
2008-04-18,0.523052,1
2012-11-27,0.513062,1
2015-04-24,0.518642,1
2019-03-06,0.506593,1
2019-03-08,0.458832,1
2019-03-09,0.530404,1
2019-03-11,0.44082,1
2019-03-18,0.523135,2
2019-03-20,0.512342,1
2019-03-21,0.498502,1
2019-03-22,0.46954,1
2019-03-27,0.490436,1
2019-03-29,0.511818,1
2019-03-30,0.535223,1
2019-04-02,0.523552,1
2019-04-04,0.514751,1
2019-04-09,0.479394,1
2019-04-10,0.493613,3
2019-04-11,0.512342,1
2019-04-16,0.511953,1
2019-04-17,0.511771,1
2019-04-18,0.484449,7
2019-04-19,0.542223,1
2019-04-24,0.489429,2
2019-04-26,0.506593,1
2019-04-30,0.481908,5
2019-05-01,0.481813,3
2019-05-03,0.481813,1
2019-05-04,0.487057,1
2019-05-09,0.51938,3
2019-05-10,0.504341,1
2019-05-11,0.490429,2
2019-05-13,0.487075,2
2019-05-14,0.512724,1
2019-05-15,0.526693,2
2019-05-16,0.506785,2
2019-05-17,0.488463,2
2019-05-19,0.485073,1
2019-05-20,0.512716,2
2019-05-21,0.485677,4
2019-05-23,0.482991,9
2019-05-24,0.497482,8
2019-05-26,0.476538,8
2019-05-27,0.476583,13
2019-05-28,0.501017,2
2019-05-29,0.513877,1
2019-05-30,0.46639,5
2019-05-31,0.536369,1
2019-06-02,0.495668,1
2019-06-03,0.4922,4
2019-06-04,0.501829,1
2019-06-05,0.510144,4
2019-06-06,0.516796,7
2019-06-07,0.541817,1
2019-06-10,0.540121,1
2019-06-11,0.46691,1
2019-06-12,0.528813,1
2019-06-13,0.502133,1
2019-06-14,0.492177,2
2019-06-15,0.500901,1
2019-06-16,0.500901,1
2019-06-17,0.515864,2
2019-06-18,0.478486,3
2019-06-20,0.512685,1
2019-06-21,0.503773,1
2019-06-23,0.520538,1
2019-06-24,0.511385,5
2019-06-26,0.505944,5
2019-06-29,0.54214,1
2019-07-01,0.504565,1
2019-07-02,0.516142,1
2019-07-03,0.510385,5
2019-07-04,0.521185,4
2019-07-05,0.515399,1
2019-07-07,0.511748,1
2019-07-08,0.498736,3
2019-07-09,0.502194,2
2019-07-10,0.526735,3
2019-07-11,0.515927,2
2019-07-12,0.547412,2
2019-07-13,0.512733,1
2019-07-15,0.460341,1
2019-07-17,0.510177,2
2019-07-18,0.518609,2
2019-07-19,0.493638,2
2019-07-21,0.518051,1
2019-07-22,0.508057,2
2019-07-26,0.539484,1
2019-07-31,0.510735,1
2019-08-01,0.502485,4
