Date,PTT_Volume,avg_push
2008-02-25,1,9.0
2008-04-18,1,8.0
2012-11-27,1,43.0
2015-04-24,1,43.0
2019-03-06,1,27.0
2019-03-08,1,20.0
2019-03-09,1,44.0
2019-03-11,1,7.0
2019-03-18,2,10.0
2019-03-20,1,23.0
2019-03-21,1,22.0
2019-03-22,1,4.0
2019-03-27,1,10.0
2019-03-29,1,15.0
2019-03-30,1,11.0
2019-04-02,1,10.0
2019-04-04,1,23.0
2019-04-09,1,8.0
2019-04-10,3,33.0
2019-04-11,1,66.0
2019-04-16,1,39.0
2019-04-17,1,11.0
2019-04-18,7,18.714285714285715
2019-04-19,1,51.0
2019-04-24,2,15.5
2019-04-26,1,39.0
2019-04-30,5,19.4
2019-05-01,3,16.333333333333332
2019-05-03,1,7.0
2019-05-04,1,10.0
2019-05-09,3,23.666666666666668
2019-05-10,1,12.0
2019-05-11,2,26.0
2019-05-13,2,10.0
2019-05-14,1,11.0
2019-05-15,2,6.5
2019-05-16,2,9.5
2019-05-17,2,23.5
2019-05-19,1,41.0
2019-05-20,2,9.0
2019-05-21,4,34.75
2019-05-23,9,28.22222222222222
2019-05-24,8,11.625
2019-05-26,8,26.5
2019-05-27,13,13.615384615384615
2019-05-28,2,7.0
2019-05-29,1,36.0
2019-05-30,5,30.0
2019-05-31,1,17.0
2019-06-02,1,11.0
2019-06-03,4,6.75
2019-06-04,1,24.0
2019-06-05,4,18.75
2019-06-06,7,17.714285714285715
2019-06-07,1,12.0
2019-06-10,1,21.0
2019-06-11,1,17.0
2019-06-12,1,15.0
2019-06-13,1,28.0
2019-06-14,2,28.5
2019-06-15,1,-10.0
2019-06-16,1,19.0
2019-06-17,2,10.5
2019-06-18,3,23.666666666666668
2019-06-20,1,12.0
2019-06-21,1,30.0
2019-06-23,1,45.0
2019-06-24,5,19.2
2019-06-26,5,27.8
2019-06-29,1,0.0
2019-07-01,1,10.0
2019-07-02,1,34.0
2019-07-03,5,35.8
2019-07-04,4,27.0
2019-07-05,1,13.0
2019-07-07,1,82.0
2019-07-08,3,12.333333333333334
2019-07-09,2,17.0
2019-07-10,3,50.0
2019-07-11,2,50.5
2019-07-12,2,57.5
2019-07-13,1,24.0
2019-07-15,1,17.0
2019-07-17,2,32.5
2019-07-18,2,52.0
2019-07-19,2,42.0
2019-07-21,1,0.0
2019-07-22,2,40.0
2019-07-26,1,35.0
2019-07-31,1,29.0
2019-08-01,4,15.75
2019-08-02,1,0.0
2019-08-06,1,23.0
2019-08-12,2,26.0
2019-08-13,1,25.0
2019-08-17,2,29.0
2019-08-18,3,7.333333333333333
2019-08-19,1,4.0
2019-08-25,1,25.0
2019-08-26,1,64.0
2019-08-27,2,29.5
2019-08-28,1,24.0
2019-08-29,2,22.5
2019-08-30,6,21.833333333333332
2019-09-03,1,29.0
2019-09-04,1,52.0
2019-09-05,2,14.5
2019-09-10,2,38.5
2019-09-14,1,15.0
2019-09-18,1,18.0
2019-09-19,2,29.0
2019-09-21,1,18.0
2019-09-24,1,36.0
2019-09-25,1,21.0
2019-09-27,3,24.333333333333332
2019-09-28,1,30.0
2019-09-29,1,26.0
2019-09-30,1,6.0
2019-10-01,5,15.4
2019-10-07,3,11.333333333333334
2019-10-08,5,29.2
2019-10-09,2,15.0
2019-10-10,1,1.0
2019-10-11,6,17.166666666666668
2019-10-12,3,12.666666666666666
2019-10-14,1,36.0
2019-10-15,4,23.25
2019-10-17,5,28.6
2019-10-18,2,55.0
2019-10-19,1,51.0
2019-10-21,1,34.0
2019-10-22,1,13.0
2019-10-23,5,20.4
2019-10-28,6,25.333333333333332
2019-10-29,5,13.0
2019-10-30,3,32.666666666666664
2019-10-31,7,19.0
2019-11-01,1,9.0
2019-11-02,1,54.0
2019-11-03,5,32.8
2019-11-04,11,20.90909090909091
2019-11-05,3,9.333333333333334
2019-11-06,2,5.5
2019-11-07,1,18.0
2019-11-08,1,39.0
2019-11-09,2,17.5
2019-11-11,3,14.0
2019-11-12,1,15.0
2019-11-14,2,38.5
2019-11-15,3,32.333333333333336
2019-11-17,1,18.0
2019-11-18,1,32.0
2019-11-19,2,7.0
2019-11-20,1,8.0
2019-11-21,1,9.0
2019-11-22,1,49.0
2019-11-23,2,48.5
2019-11-24,2,8.5
2019-11-25,2,26.5
2019-11-26,1,54.0
2019-11-28,2,14.5
2019-11-29,2,19.0
2019-11-30,1,2.0
2019-12-05,2,20.0
2019-12-06,2,26.5
2019-12-07,2,24.5
2019-12-09,1,37.0
2019-12-10,1,51.0
2019-12-11,9,32.111111111111114
2019-12-12,7,15.0
2019-12-13,8,15.5
2019-12-14,4,37.5
2019-12-15,6,31.0
2019-12-16,4,44.75
2019-12-17,12,22.583333333333332
2019-12-18,2,49.0
2019-12-19,6,8.333333333333334
2019-12-20,7,27.142857142857142
2019-12-21,1,100.0
2019-12-23,1,1.0
2019-12-24,2,20.0
2019-12-28,2,17.0
2019-12-29,2,35.0
2019-12-30,2,15.5
2019-12-31,1,6.0
2020-01-01,1,22.0
2020-01-02,3,16.666666666666668
2020-01-03,2,24.5
