Date,Title,Push_Count
2008-02-25,Re: [請益] 關於2330台積電減資,9
2008-04-18,[轉錄] Re: [討論] 台積電跨足LED 震撼磊晶廠,8
2012-11-27,[標的] 台積電（２３３０）,43
2015-04-24,Re: [標的] 論大盤＆台積電 (2),43
2019-03-06,[標的] 2330 台積電 空,27
2019-03-08,[新聞]台積電2月營收608.89億年減5.8%,20
2019-03-09,[新聞] 存股達人報酬率暴漲88倍 身價全靠台積電!,44
2019-03-11,[新聞] iPhone砍單、晶圓報廢衝擊　台積電上半年,7
2019-03-18,[新聞] 蘋概三王各擁題材 台積電股價飆近5個月高點,12
2019-03-18,[新聞] 台積電光阻液出包 傳牽動14B廠、品管部,8
2019-03-20,[標的] 2330 台積電 多,23
2019-03-21,Re: [標的] 2330台積電 空,22
2019-03-22,[新聞] Apple Car有影？傳台積電鎖定意法、蘋果,4
2019-03-27,[新聞] 半導體專利戰再起！ITC啟動337調查台積電,10
2019-03-29,[心得] 台積電等半導體中游廠商 整理,15
2019-03-30,[新聞] 第一季重磅布局 12大法人認養股 台積電居,11
2019-04-02,[請益] 台積電年報 出爐,10
2019-04-04,[新聞] 狠甩三星 　台積電推出5奈米開放創新平台,23
2019-04-09,[新聞] 貿易戰反帶動庫存　外資：台積電Q2 7奈,8
2019-04-10,[其他] 台積電108年3月營收報告,63
2019-04-10,[新聞] 台積電首季營收年衰退 11.8%，符合調降財,29
2019-04-10,[新聞] 台積電7奈米+、5奈米進程領先　大聯盟營,7
2019-04-11,[標的] 2330 台積電 多,66
2019-04-16,[新聞] 台積電宣佈推出6奈米製程,39
2019-04-17,[新聞] 罕見回擊三星　台積電推6奈米製程明年首,11
2019-04-18,[新聞] 台積電明年起季季配息，全年股利不低於今年，至少10元起跳,41
2019-04-18,[新聞] 台積電：第1季是谷底　毛利率一季會比一,35
2019-04-18,Re: [新聞] 台積電首季每股賺2.37元　季減38.6%,20
2019-04-18,[標的] 2330台積電 三尊頭or真突破,15
2019-04-18,[請益] 台積電法說會應有中文的同步翻譯,10
2019-04-18,Re: [新聞] 台積電首季每股賺2.37元　季減38.6%,5
2019-04-18,[新聞] 高通、蘋果復合 5G晶片大單台積電廝殺三,5
2019-04-19,[新聞] 法說會報喜 花旗喊台積電目標價305元 美,51
2019-04-24,[新聞] 報廢10萬片晶圓虧169億！台積電撤高層後,28
2019-04-24,Re: [新聞] 最懂台積電分析師 喊目標價196元,3
2019-04-26,[標的] 2330台積電 空,39
2019-04-30,[新聞] 台積電急找綠電卻因台電卡位買不到　經,60
2019-04-30,Re: [新聞] 台積電急找綠電卻因台電卡位買不到　經,18
2019-04-30,Re: [新聞] 台積電急找綠電卻因台電卡位買不到　經,9
2019-04-30,Re: [新聞] 台積電急找綠電卻因台電卡位買不到　經,5
2019-04-30,Re: [新聞] 台積電急找綠電卻因台電卡位買不到　經,5
2019-05-01,Re: [新聞] 台積電急找綠電卻因台電卡位買不到　經,35
2019-05-01,Re: [新聞] 台積電急找綠電卻因台電卡位買不到　經,14
