期間,測試開始,測試結束,測試天數,模型,準確度(%),永遠猜漲(%),Alpha(%),使用特徵數,IMP_RSI_14(%),IMP_MACD(%),IMP_MACD_Signal(%),IMP_Ret_5D(%),IMP_Ret_10D(%),IMP_Ret_20D(%),IMP_Ret_42D(%),IMP_Vol_42D(%),IMP_Position_42D(%),IMP_Volume(%),IMP_VIX_Close(%),IMP_SOX_Ret(%),IMP_ADR_Ret(%),IMP_FX_Ret(%),IMP_News_Raw_Score(%),IMP_News_Volume(%),IMP_PTT_Raw_Score(%),IMP_PTT_Volume(%)
2021全年,2021-01-01,2021-12-31,261,① 純NLP情緒版,54.8,42.5,12.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.77,18.95,29.54,15.73
2021全年,2021-01-01,2021-12-31,261,② 純技術大盤版,64.4,42.5,21.8,14,5.96,4.87,4.88,5.29,5.93,5.08,5.38,4.9,5.57,5.74,4.78,15.78,21.0,4.85,0.0,0.0,0.0,0.0
2021全年,2021-01-01,2021-12-31,261,③ 大盤+新聞版,63.6,42.5,21.1,16,5.6,4.32,3.91,5.0,5.25,4.29,5.05,4.57,4.8,5.15,4.46,14.83,20.55,4.52,4.4,3.3,0.0,0.0
2021全年,2021-01-01,2021-12-31,261,④ 大盤+PTT版,62.5,42.5,19.9,16,5.6,4.07,4.16,4.9,5.43,4.31,5.17,4.71,4.93,5.31,4.49,14.83,20.55,4.6,0.0,0.0,3.65,3.28
2021全年,2021-01-01,2021-12-31,261,⑤ 終極完全體,65.9,42.5,23.4,18,4.9,3.76,3.81,4.83,4.87,4.07,4.67,4.01,4.74,4.9,4.14,15.04,18.14,4.18,4.25,3.23,3.42,3.01
2022全年,2022-01-01,2022-12-31,260,① 純NLP情緒版,53.8,41.9,11.9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.77,22.76,29.75,15.73
2022全年,2022-01-01,2022-12-31,260,② 純技術大盤版,70.0,41.9,28.1,14,5.33,4.46,4.53,5.11,5.31,4.61,5.01,5.29,4.83,5.51,5.06,16.33,23.5,5.12,0.0,0.0,0.0,0.0
2022全年,2022-01-01,2022-12-31,260,③ 大盤+新聞版,70.8,41.9,28.8,16,4.55,3.74,3.87,4.35,5.05,4.17,4.6,4.53,4.33,5.04,4.44,15.74,22.66,4.8,4.3,3.81,0.0,0.0
2022全年,2022-01-01,2022-12-31,260,④ 大盤+PTT版,71.9,41.9,30.0,16,4.77,4.17,4.28,4.62,5.17,4.14,4.61,4.58,4.47,5.04,4.32,15.88,22.52,4.9,0.0,0.0,3.54,3.0
2022全年,2022-01-01,2022-12-31,260,⑤ 終極完全體,72.3,41.9,30.4,18,4.33,3.39,3.94,4.16,4.56,3.91,4.11,4.3,4.13,4.57,3.84,15.97,20.87,4.38,3.97,3.59,3.36,2.63
2023全年,2023-01-01,2023-12-31,260,① 純NLP情緒版,56.2,44.2,11.9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.89,22.17,28.91,15.03
2023全年,2023-01-01,2023-12-31,260,② 純技術大盤版,68.8,44.2,24.6,14,4.55,4.4,4.81,4.51,5.28,3.84,4.67,5.56,4.8,4.68,4.98,21.28,22.64,4.0,0.0,0.0,0.0,0.0
2023全年,2023-01-01,2023-12-31,260,③ 大盤+新聞版,70.4,44.2,26.2,16,4.09,3.67,3.73,4.04,4.74,3.71,4.15,4.74,3.9,4.33,4.21,19.78,22.92,3.87,4.36,3.76,0.0,0.0
2023全年,2023-01-01,2023-12-31,260,④ 大盤+PTT版,69.6,44.2,25.4,16,4.12,3.7,3.87,4.32,4.8,3.6,4.31,5.11,4.21,4.45,4.33,20.09,22.61,4.04,0.0,0.0,3.56,2.88
2023全年,2023-01-01,2023-12-31,260,⑤ 終極完全體,71.9,44.2,27.7,18,3.75,3.27,3.76,3.96,4.11,3.44,3.84,4.66,3.89,4.13,3.82,20.03,20.14,3.71,4.11,3.64,3.28,2.46
2024全年,2024-01-01,2024-12-31,262,① 純NLP情緒版,48.1,49.2,-1.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78,21.37,29.06,15.78
2024全年,2024-01-01,2024-12-31,262,② 純技術大盤版,68.7,49.2,19.5,14,5.04,4.32,4.7,4.03,4.85,3.72,4.42,5.45,4.17,4.95,4.33,20.23,25.48,4.31,0.0,0.0,0.0,0.0
2024全年,2024-01-01,2024-12-31,262,③ 大盤+新聞版,69.1,49.2,19.8,16,4.04,3.5,3.94,3.94,4.32,3.18,3.75,4.75,3.67,4.36,3.8,17.98,26.07,4.0,4.92,3.77,0.0,0.0
2024全年,2024-01-01,2024-12-31,262,④ 大盤+PTT版,68.3,49.2,19.1,16,4.36,3.69,3.93,4.0,4.41,3.38,3.94,4.7,3.59,4.51,4.07,18.24,25.79,4.26,0.0,0.0,4.02,3.14
2024全年,2024-01-01,2024-12-31,262,⑤ 終極完全體,68.3,49.2,19.1,18,4.01,3.02,3.94,3.44,4.04,3.03,3.61,4.24,3.42,4.21,3.66,18.38,23.15,3.76,4.49,3.51,3.62,2.47
2025全年,2025-01-01,2025-12-31,259,① 純NLP情緒版,55.2,45.9,9.3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,21.85,26.99,16.76
2025全年,2025-01-01,2025-12-31,259,② 純技術大盤版,63.7,45.9,17.8,14,4.88,4.33,4.45,3.78,4.53,3.74,4.1,4.98,3.88,4.73,4.77,19.85,27.94,4.03,0.0,0.0,0.0,0.0
2025全年,2025-01-01,2025-12-31,259,③ 大盤+新聞版,63.3,45.9,17.4,16,4.22,3.67,4.07,3.43,3.97,3.45,3.93,4.4,3.45,4.6,3.88,19.45,25.67,3.57,4.4,3.83,0.0,0.0
2025全年,2025-01-01,2025-12-31,259,④ 大盤+PTT版,63.7,45.9,17.8,16,4.36,3.89,3.9,3.38,4.27,3.51,3.82,4.66,3.41,4.49,3.84,19.28,26.97,3.68,0.0,0.0,3.61,2.93
